bin_mid,norm_density,lat_region,group
3,259.233,Temperate,Invertebrate
3,683.637,Temperate,Vertebrate
3,23.837,Tropical,Invertebrate
3,2180.024,Tropical,Vertebrate
6,992.0105,Temperate,Invertebrate
6,529.302,Temperate,Vertebrate
6,136.3255,Tropical,Invertebrate
6,439.9585,Tropical,Vertebrate
12,2.67825,Temperate,Invertebrate
12,194.62975,Temperate,Vertebrate
12,0.4315,Tropical,Invertebrate
12,183.2315,Tropical,Vertebrate
24,61.73375,Temperate,Invertebrate
24,74.958875,Temperate,Vertebrate
24,6.72025,Tropical,Invertebrate
24,75.013,Tropical,Vertebrate
48,119.8028125,Temperate,Invertebrate
48,63.469375,Temperate,Vertebrate
48,24.1461875,Tropical,Invertebrate
48,28.0115625,Tropical,Vertebrate
96,6.941375,Temperate,Invertebrate
96,21.94425,Temperate,Vertebrate
96,0.81746875,Tropical,Invertebrate
96,12.1555,Tropical,Vertebrate
192,14.19259375,Temperate,Invertebrate
192,7.09203125,Temperate,Vertebrate
192,3.083796875,Tropical,Invertebrate
192,4.7630625,Tropical,Vertebrate
384,3.3999296875,Temperate,Invertebrate
384,1.46425,Temperate,Vertebrate
384,0.7255,Tropical,Invertebrate
384,1.59575,Tropical,Vertebrate
768,0.659453125,Temperate,Invertebrate
768,0.30359765625,Temperate,Vertebrate
768,0.2075078125,Tropical,Invertebrate
768,0.26590625,Tropical,Vertebrate
1536,0.170970703125,Temperate,Invertebrate
1536,0.042658203125,Temperate,Vertebrate
1536,0.101396484375,Tropical,Invertebrate
1536,0.022837890625,Tropical,Vertebrate
3072,0.028138671875,Temperate,Invertebrate
3072,0.00474609375,Temperate,Vertebrate
3072,0.0407431640625,Tropical,Invertebrate
3072,0.0044873046875,Tropical,Vertebrate
6144,0.006125,Temperate,Invertebrate
6144,0.001244140625,Temperate,Vertebrate
6144,0.01495654296875,Tropical,Invertebrate
6144,0.0013671875,Tropical,Vertebrate
12288,0.000399658203125,Temperate,Invertebrate
12288,0.000277587890625,Temperate,Vertebrate
12288,0.001964599609375,Tropical,Invertebrate
12288,0.0001435546875,Tropical,Vertebrate
24576,9.619140625e-05,Temperate,Invertebrate
24576,6.70166015625e-05,Temperate,Vertebrate
24576,4.0283203125e-06,Tropical,Invertebrate
24576,6.689453125e-05,Tropical,Vertebrate
49152,1.1962890625e-05,Temperate,Invertebrate
49152,1.470947265625e-05,Temperate,Vertebrate
49152,1.64794921875e-06,Tropical,Invertebrate
49152,1.03759765625e-05,Tropical,Vertebrate
98304,5.79833984375e-07,Temperate,Invertebrate
98304,3.082275390625e-06,Temperate,Vertebrate
98304,2.44140625e-06,Tropical,Vertebrate
196608,1.373291015625e-07,Temperate,Invertebrate
196608,1.983642578125e-07,Temperate,Vertebrate
196608,5.035400390625e-07,Tropical,Vertebrate
393216,7.62939453125e-09,Temperate,Invertebrate
393216,8.392333984375e-08,Temperate,Vertebrate
393216,1.068115234375e-07,Tropical,Vertebrate
786432,3.814697265625e-09,Temperate,Vertebrate
786432,3.4332275390625e-08,Tropical,Vertebrate
1572864,5.7220458984375e-09,Tropical,Vertebrate
3145728,9.5367431640625e-10,Tropical,Vertebrate
,,Temperate,Invertebrate
,,Temperate,Vertebrate
,,Tropical,Invertebrate
,,Tropical,Vertebrate
