lat_bin,mean_slope_diff,slope_sd_diff,mean_slope_fish,slope_sd_fish,mean_slope_comb,slope_sd_comb
-60,,,,,-2.55131737741811,0.0136273480319214
-55,-0.951081065917241,,-1.47845596202521,,-2.51067571732696,0.117982575409934
-50,-0.132264246640526,,-1.81687031705706,,-1.94913456369759,
-45,-0.299654296563675,0.254648304349271,-1.50302554987906,0.164453190891705,-1.80106700237416,0.233579803189333
-40,-0.184921206891194,0.22628007213692,-1.8106485355235,0.303252949236929,-1.99560453856284,0.180676276611139
-35,-0.0786604356565937,0.138828285512708,-1.9793885026525,0.233914154410579,-2.0580489383091,0.184410591810049
-30,-0.163783582465931,0.123744542793056,-1.89804986473418,0.16133708823639,-2.06183344720011,0.148508798216426
-25,-0.0534822591554599,0.0937077706290384,-1.96069614110225,0.151457512974583,-2.01417840025771,0.135697594582624
-20,-0.0352960260938051,0.0501232920409625,-1.9345590272185,0.136067889701051,-1.9698550533123,0.115191986019924
-15,-0.0349118094203248,0.0567593651208893,-1.93286199490814,0.160874622253821,-1.96777380432847,0.144960258550239
-10,-0.0519874457727417,0.0794874525265306,-2.09530641502856,0.228322662041546,-2.1472938608013,0.240200342786074
-5,-0.085606739197943,0.108854176838594,-2.03119441725703,0.239777712962909,-2.11680115645497,0.2249108725724
0,0.0668874797416808,0.277218559210826,-1.94836959808496,0.190084607550393,-1.88148211834328,0.256324514806128
5,0.259769922868739,0.266486353889631,-2.0146412790126,0.178249764979388,-1.75487135614386,0.346823383340534
10,0.192571994876116,0.342270046302293,-1.9168144668479,0.182304080523962,-1.72424247197178,0.410472171755765
15,-0.0113120619879802,0.0508595454875137,-2.39047222302879,0.13873584078869,-2.40178428501677,0.106847031195214
20,-0.145605673029355,0.218150163696087,-1.91785920431657,0.170977239912805,-2.06346487734592,0.226411123248184
25,0.121129446978614,0.158382297655796,-2.21019247920774,0.21469078500714,-2.08906303222913,0.0902902807894423
30,-0.492505768340085,0.394022704068405,-1.76919927723108,0.187596279901987,-2.26170504557116,0.384621466930016
35,-0.0628351525414455,0.130130626868456,-2.04374945457708,0.155779922847577,-2.10658460711853,0.12552524441549
40,-0.12411021050983,0.185457646526157,-1.89171437808997,0.156650723665187,-2.02766886272427,0.112322384449903
45,-0.537870888897347,0.0867245319917011,-1.58844447440664,0.102766254275601,-2.12631536330399,0.06860851497738
50,-0.538272752907672,0.111154549449207,-1.56890062031292,0.10383368798892,-2.0894538884757,0.102330817377309
55,-0.51865350434979,0.0920700375742837,-1.55070823862935,0.0980113570614405,-2.07274333093649,0.0395531740459997
