class,meanlog,sdlog,LMAX
Gastropoda,2.29616139260436,0.363932168378403,22
Malacostraca,2.19136891114873,0.370408411228858,23
Gastropoda,2.56509999237611,0.342900823442169,23
Gastropoda,1.84034474991207,0.284978565626451,12
Gastropoda,1.42467067099942,0.295086428636723,8
Gastropoda,1.57271848569543,0.389789224667148,6
Gastropoda,1.43969695293816,0.657402430042056,10
Gastropoda,2.11624499120641,0.563966635073073,15
Asteroidea,0.913220947552634,0.32133615831692,14
Gastropoda,2.69959032754073,0.26460978748813,23
Echinoidea,2.23219455465013,0.730034304066788,11
Asteroidea,2.1626397895054,0.646432653017619,18
Asteroidea,2.34937601757937,0.567466743934198,36
Holothuroidea,2.52112490993853,0.551941102869459,20
Malacostraca,1.51840177211987,0.319587319745019,7
Echinoidea,1.34282285941797,0.295328421291388,7
Malacostraca,1.87732263114084,0.400126564725705,20
Gastropoda,1.88061341389291,0.202400160509114,12
Echinoidea,1.6028119482683,0.51080287861497,9
Crinoidea,2.65109890558577,0.556482387230309,46
Asteroidea,1.45828874395772,0.559312113098484,15
Asteroidea,0.987409718253229,0.129533750056318,10
Gastropoda,1.38725531798727,0.296558432858491,5
Asteroidea,1.67111394099322,0.308451325656782,10
Gastropoda,1.59358084676371,0.724716170682347,11
Gastropoda,1.77174793795098,0.546025872803343,15
Echinoidea,1.19392682790473,0.465196629840146,4
Gastropoda,1.56995589576186,0.81270207817118,17
Echinoidea,1.63592084792131,0.280753678849765,6
Crinoidea,2.0594724737856,0.418857977990985,30
Asteroidea,0.988485923187115,0.560812687406159,50
Asteroidea,1.85525962792082,0.392425703587378,26
Gastropoda,1.3217622966364,0.0831182590938575,4.9
Asteroidea,1.61742441494253,0.592645233904932,24
Gastropoda,2.40748771294172,0.597382061292032,18
Asteroidea,1.53251771935672,0.475969820236933,9
Asteroidea,1.9846658330027,0.482614017974791,24
Asteroidea,1.14386260038046,0.51363984446715,13
Asteroidea,2.8232366304182,0.38499853059103,18
Asteroidea,1.31133098514341,0.48366748660444,22
Gastropoda,1.13374821163843,0.12255975779728,10
Gastropoda,2.18599132848623,0.140600458080979,10
Echinoidea,1.42001610803983,0.585874883770653,10
Gastropoda,2.29066572959527,0.495216801409576,24
Asteroidea,1.31443978127199,0.305259691714097,12
Echinoidea,1.89164399373045,0.252814178296045,6
Malacostraca,1.27297195397097,0.472193682410041,30
Cephalopoda,3.07205572440198,0.190084809575848,20
Echinoidea,1.04994542891618,0.600638687315749,20
Cephalopoda,3.35158156481297,0.510145051671625,80
Cephalopoda,2.31175025554698,0.307003082150283,13
Cephalopoda,2.80408013573388,0.525366887458057,55
Malacostraca,1.34959634142297,0.571765854439776,9
Echinoidea,1.12646100351643,0.598486467366733,9
Cephalopoda,2.32338525746088,0.386213367589022,20
Gastropoda,1.83994598987703,0.45835999090316,10
Cephalopoda,3.13320419960522,0.56527954150276,80
Malacostraca,3.09833463304881,0.0352414917016501,13
Gastropoda,1.39497170634154,0.653254304776189,7.6
Gastropoda,1.6018795707287,0.716739531982812,15
