class,log_lmax,log_mmax
Asteroidea,4.38202663467388,9.03914873550175
Holothuroidea,2.99573227355399,5.9939411926038
Holothuroidea,3.40119738166216,6.6654006287732
Holothuroidea,3.2188758248682,6.37667084791215
Holothuroidea,3.55534806148941,7.67555952435498
Holothuroidea,3.80666248977032,10.1323446213245
Holothuroidea,3.91202300542815,8.61538301255172
Gastropoda,2.56494935746154,5.29302551083364
Gastropoda,1.25276296849537,2.59356355425498
Malacostraca,2.77258872223978,4.99900237475799
Malacostraca,2.70805020110221,4.66991611369497
Malacostraca,3.40119738166216,9.46486308087288
Malacostraca,2.99573227355399,5.58710712798034
Malacostraca,1.87180217690159,4.34011551542058
Gastropoda,3.55534806148941,9.60250579423569
Asteroidea,3.40119738166216,7.46696047665682
Echinoidea,2.70805020110221,7.12522616659207
Malacostraca,2.35137525716348,5.29889589425845
Malacostraca,1.38629436111989,3.02909732097779
Malacostraca,2.35137525716348,3.92542601701989
Malacostraca,2.83321334405622,6.17355813599249
Gastropoda,3.2188758248682,8.02725383052914
Gastropoda,2.39242579699384,5.10791680536128
Gastropoda,3.2188758248682,8.15148668179022
Gastropoda,2.62622018285458,6.26804392559969
Gastropoda,2.86220088092947,6.71296256637598
Gastropoda,3.13549421592915,7.58725897655115
Gastropoda,3.09104245335832,7.39918877980168
Gastropoda,3.25809653802148,7.79049996262474
Gastropoda,2.50959926237837,5.77187900800188
Asteroidea,2.46385324059017,4.00280475091721
Asteroidea,2.70805020110221,3.94816418149051
Holothuroidea,3.91202300542815,7.58538439047369
Holothuroidea,3.2188758248682,5.62405270311676
Holothuroidea,4.04305126783455,8.47031577182337
Holothuroidea,4.0943445622221,8.48788222262433
Holothuroidea,2.99573227355399,4.17329433440938
Holothuroidea,3.91202300542815,6.90096927962494
Holothuroidea,3.91202300542815,8.176340133661
Holothuroidea,3.2188758248682,6.78392182612769
Malacostraca,4.17438726989564,8.84545862921116
Malacostraca,1.80828877117927,4.85315911398088
Malacostraca,2.07944154167984,4.77270194474124
Holothuroidea,2.99573227355399,5.61497117183762
Malacostraca,1.38629436111989,2.91045784725959
Malacostraca,2.30258509299405,7.08043344310451
Gastropoda,1.79175946922806,0.567307715375378
Malacostraca,2.39789527279837,5.71843975491728
Gastropoda,2.30158459266046,4.56606438606648
Gastropoda,1.45861502269952,1.12692787489917
Cephalopoda,4.49980967033027,12.1941412840629
Cephalopoda,3.21486780347066,9.28754706939216
Malacostraca,2.30258509299405,6.95297641857329
Malacostraca,1.6094379124341,6.27559009328475
Malacostraca,1.6094379124341,1.52139306642019
Malacostraca,1.6094379124341,6.31242055507703
Malacostraca,3.91202300542815,10.9613603995073
Malacostraca,3.80666248977032,8.13803590511375
Malacostraca,4.0943445622221,11.3173990336774
Malacostraca,3.40119738166216,8.43874865634245
Malacostraca,4.0943445622221,11.4115503191066
Malacostraca,3.68887945411394,9.02064528011918
Malacostraca,3.68887945411394,9.38861528879658
Malacostraca,2.67414864942653,7.42016622052762
Malacostraca,3.04452243772342,8.38833815485314
Malacostraca,2.70805020110221,6.8088603176495
Asteroidea,3.25809653802148,7.6497421711157
Malacostraca,3.80666248977032,10.5362914821336
Cephalopoda,3.91202300542815,9.44657714792608
Holothuroidea,3.2188758248682,4.80775584062386
Echinoidea,2.30258509299405,5.88554458022633
Holothuroidea,4.0943445622221,7.4867023189937
Holothuroidea,4.0943445622221,8.47715756841774
Echinoidea,2.70805020110221,6.86340749171962
Gastropoda,0.693147180559945,1.5653644010156
Gastropoda,2.41680623708407,5.74205094718977
