bin_mid,norm_density,group_ordered
48,0.00128125,fish-only
96,0.00109375,fish-only
192,0.00084375,fish-only
384,6.640625e-05,fish-only
768,2.734375e-05,fish-only
1536,7.8125e-06,fish-only
48,0.003,fish-only
96,0.063625,fish-only
192,0.000890625,fish-only
384,0.0001015625,fish-only
768,1.953125e-05,fish-only
3072,2.9296875e-06,fish-only
48,0.00175,fish-only
96,0.003140625,fish-only
192,0.0018984375,fish-only
384,0.00071484375,fish-only
768,6.0546875e-05,fish-only
1536,1.171875e-05,fish-only
3072,9.765625e-07,fish-only
48,0.00496875,fish-only
96,0.0040625,fish-only
192,0.013875,fish-only
384,0.0016328125,fish-only
768,0.00015625,fish-only
1536,8.7890625e-06,fish-only
48,0.0015625,fish-only
96,0.0004375,fish-only
192,4.6875e-05,fish-only
48,0.0044375,fish-only
96,0.00115625,fish-only
192,0.00065625,fish-only
384,0.0001875,fish-only
768,8.203125e-05,fish-only
1536,9.765625e-06,fish-only
48,0.007125,fish-only
96,0.002890625,fish-only
192,0.0024375,fish-only
384,0.00041015625,fish-only
768,6.25e-05,fish-only
48,0.00672916666666667,fish-only
96,0.002875,fish-only
192,0.00214583333333333,fish-only
384,0.0003046875,fish-only
768,6.25e-05,fish-only
1536,5.20833333333333e-06,fish-only
48,0.0512916666666667,fish-only
96,0.03834375,fish-only
192,0.00471875,fish-only
384,0.001125,fish-only
768,9.375e-05,fish-only
1536,4.55729166666667e-06,fish-only
3072,3.25520833333333e-07,fish-only
48,0.0101041666666667,fish-only
96,0.00288541666666667,fish-only
192,0.001578125,fish-only
384,0.000208333333333333,fish-only
768,4.81770833333333e-05,fish-only
1536,9.765625e-06,fish-only
3072,3.25520833333333e-07,fish-only
48,0.00575,fish-only
96,0.00240625,fish-only
192,0.000984375,fish-only
384,8.85416666666667e-05,fish-only
768,1.04166666666667e-05,fish-only
1536,6.51041666666667e-07,fish-only
48,0.003,fish-only
96,0.001890625,fish-only
192,0.0011953125,fish-only
384,0.00023828125,fish-only
768,3.90625e-05,fish-only
1536,1.953125e-06,fish-only
3072,2.44140625e-06,fish-only
48,0.00653125,fish-only
96,0.006421875,fish-only
192,0.0008203125,fish-only
384,0.0041875,fish-only
768,0.0002744140625,fish-only
1536,6.34765625e-06,fish-only
3072,4.8828125e-07,fish-only
48,0.01696875,fish-only
96,0.008625,fish-only
192,0.0033671875,fish-only
384,0.00017578125,fish-only
768,2.734375e-05,fish-only
1536,1.46484375e-05,fish-only
3072,4.8828125e-07,fish-only
48,0.03278125,fish-only
96,0.0056875,fish-only
192,0.0006484375,fish-only
384,0.0008984375,fish-only
768,0.000173828125,fish-only
1536,9.765625e-07,fish-only
48,0.009875,fish-only
96,0.005,fish-only
192,0.00046875,fish-only
384,0.0001953125,fish-only
768,1.5625e-05,fish-only
1536,1.953125e-06,fish-only
3072,9.765625e-07,fish-only
48,0.0070625,fish-only
96,0.0018125,fish-only
192,0.0004375,fish-only
384,0.000203125,fish-only
768,1.953125e-05,fish-only
48,0.00725,fish-only
96,0.00390625,fish-only
192,0.001640625,fish-only
384,0.0002578125,fish-only
768,7.8125e-06,fish-only
1536,3.90625e-06,fish-only
48,0.0066875,fish-only
96,0.00334375,fish-only
192,0.001875,fish-only
384,7.8125e-05,fish-only
768,1.5625e-05,fish-only
48,0.0055,fish-only
96,0.0033125,fish-only
192,0.000921875,fish-only
384,3.125e-05,fish-only
768,3.515625e-05,fish-only
1536,1.953125e-06,fish-only
48,0.010875,fish-only
96,0.003,fish-only
192,0.00109375,fish-only
384,0.0001328125,fish-only
