ecoregion,bin_mid,norm_density,fit,ecoregion_trim,site_id
Western Sumatra,48,0.004,0.0101250328489708,Western Sumatra,1
Western Sumatra,48,0.128125,0.0185119854082375,Western Sumatra,2
Western Sumatra,48,0.05146875,0.0892334909839933,Western Sumatra,3
Western Sumatra,48,0.0081875,0.025222524075022,Western Sumatra,4
Western Sumatra,48,0.000875,0.00192248381775937,Western Sumatra,5
Western Sumatra,48,0.0023125,0.00711054535389823,Western Sumatra,6
Western Sumatra,48,0.00840625,0.0175989562282579,Western Sumatra,7
Western Sumatra,48,0.00627083333333333,0.0120602393220961,Western Sumatra,8
Western Sumatra,48,0.0772916666666667,0.0275969562325426,Western Sumatra,9
Western Sumatra,48,0.00589583333333333,0.00970489448399743,Western Sumatra,10
Western Sumatra,48,0.0054375,0.00523589786884826,Western Sumatra,11
Western Sumatra,48,0.00440625,0.00994472652528757,Western Sumatra,12
Western Sumatra,48,0.013046875,0.0176417260615723,Western Sumatra,13
Western Sumatra,48,0.01959375,0.0180271885553416,Western Sumatra,14
Western Sumatra,48,0.013,0.0134540913831014,Western Sumatra,15
Western Sumatra,48,0.010125,0.00692557461881379,Western Sumatra,16
Western Sumatra,48,0.00375,0.00608939954421769,Western Sumatra,17
Western Sumatra,48,0.008,0.0088179631200779,Western Sumatra,18
Western Sumatra,48,0.01025,0.0177694186136172,Western Sumatra,19
Western Sumatra,48,0.006625,0.00604220986993969,Western Sumatra,20
Western Sumatra,48,0.006125,0.00855059289874848,Western Sumatra,21
Western Sumatra,48,0.0128125,0.013960911255089,Western Sumatra,22
Western Sumatra,48,0.0058125,0.00881303069848192,Western Sumatra,23
Western Sumatra,48,0.011,0.00711568894743334,Western Sumatra,24
Western Sumatra,48,0.01171875,0.00719919905445798,Western Sumatra,25
Western Sumatra,48,0.0094375,0.00412272137114748,Western Sumatra,26
Western Sumatra,48,0.0038125,0.00338777313111195,Western Sumatra,27
Western Sumatra,48,0.00575,0.00865671968833427,Western Sumatra,28
Western Sumatra,48,0.04390625,0.0195791139210312,Western Sumatra,29
Western Sumatra,48,0.0026875,0.0045536562210143,Western Sumatra,30
Banda Sea,48,0.01284375,0.0296087243216959,Banda Sea,31
Banda Sea,48,0.0149375,0.0277342636610705,Banda Sea,32
Banda Sea,48,0.0118125,0.018818420395907,Banda Sea,33
Banda Sea,48,0.00425,0.0258170379621433,Banda Sea,34
Banda Sea,48,0.0025,0.0114855053241356,Banda Sea,35
Central and Southern Great Barrier Reef,48,0.0020625,0.00467386769550468,Central and Sout...,36
Central and Southern Great Barrier Reef,48,0.0090625,0.0150381040873624,Central and Sout...,37
Central and Southern Great Barrier Reef,48,0.00303125,0.00770569804868827,Central and Sout...,38
Central and Southern Great Barrier Reef,48,0.008390625,0.0104632755559265,Central and Sout...,39
Central and Southern Great Barrier Reef,48,0.0035625,0.00561664310643035,Central and Sout...,40
Central and Southern Great Barrier Reef,48,0.002,0.00381458258597811,Central and Sout...,41
Central and Southern Great Barrier Reef,48,0.00084375,0.00379937624504499,Central and Sout...,42
Central and Southern Great Barrier Reef,48,0.002453125,0.0060286859739389,Central and Sout...,43
Central and Southern Great Barrier Reef,48,0.0063125,0.00682727036572415,Central and Sout...,44
Central and Southern Great Barrier Reef,48,0.00403125,0.0102947809602731,Central and Sout...,45
Central and Southern Great Barrier Reef,48,0.004390625,0.0092317132264715,Central and Sout...,46
Central and Southern Great Barrier Reef,48,0.00778125,0.00806851478169318,Central and Sout...,47
Marshall Islands,48,0.00525,0.00543390015289517,Marshall Islands,48
Marshall Islands,48,0.0030625,0.00283291616625231,Marshall Islands,49
Marshall Islands,48,0.00175,0.0027340714040108,Marshall Islands,50
Marshall Islands,48,0.000625,0.00250649562588695,Marshall Islands,51
Marshall Islands,48,0.0016875,0.00316327185420265,Marshall Islands,52
Marshall Islands,48,0.002,0.00454111429892733,Marshall Islands,53
Marshall Islands,48,0.000875,0.00247618355413133,Marshall Islands,54
Marshall Islands,48,0.0035,0.00544560782709641,Marshall Islands,55
Marshall Islands,48,0.0041875,0.00742026258791081,Marshall Islands,56
Marshall Islands,48,0.0030625,0.00571145543422293,Marshall Islands,57
Alboran Sea,48,0.2028125,0.126460331047368,Alboran Sea,58
Alboran Sea,48,0.076,0.0789213000633481,Alboran Sea,59
Alboran Sea,48,0.0283125,0.0433780239810291,Alboran Sea,60
Alboran Sea,48,0.0930625,0.0464083377325708,Alboran Sea,61
Alboran Sea,48,0.0704375,0.0505533021146041,Alboran Sea,62
Alboran Sea,48,0.0410625,0.0623331411743328,Alboran Sea,63
Alboran Sea,48,0.04575,0.0522110584773562,Alboran Sea,64
Alboran Sea,48,0.048,0.0574945518849935,Alboran Sea,65
Alboran Sea,48,0.0785625,0.050192936987124,Alboran Sea,66
Alboran Sea,48,0.1178125,0.053490859855906,Alboran Sea,67
Alboran Sea,48,0.1105625,0.155838194210458,Alboran Sea,68
Alboran Sea,48,0.1233125,0.0484809738508999,Alboran Sea,69
Alboran Sea,48,0.1486875,0.0459195621113253,Alboran Sea,70
Alboran Sea,48,0.0465,0.0272094198832229,Alboran Sea,71
Alboran Sea,48,0.0180625,0.0207707405183477,Alboran Sea,72
Alboran Sea,48,0.1551875,0.0411924732044329,Alboran Sea,73
Alboran Sea,48,0.000625,0.00301523585875196,Alboran Sea,74
Alboran Sea,48,0.0165,0.0143730927735913,Alboran Sea,75
Alboran Sea,48,0.114,0.0518496408398092,Alboran Sea,76
Alboran Sea,48,0.04225,0.0338921853927236,Alboran Sea,77
Alboran Sea,48,0.0885,0.0574690066918724,Alboran Sea,78
Alboran Sea,48,0.02175,0.0180792997236306,Alboran Sea,79
Alboran Sea,48,0.03725,0.0424246346204687,Alboran Sea,80
Alboran Sea,48,0.056875,0.075134184562909,Alboran Sea,81
Alboran Sea,48,0.1523125,0.0782078365869552,Alboran Sea,82
Alboran Sea,48,0.070375,0.0792423601378521,Alboran Sea,83
Alboran Sea,48,0.0285,0.0332610279749819,Alboran Sea,84
Alboran Sea,48,0.041875,0.0246289684774378,Alboran Sea,85
Alboran Sea,48,0.0251875,0.027860948618115,Alboran Sea,86
Alboran Sea,48,0.0385625,0.0183271385792374,Alboran Sea,87
Alboran Sea,48,0.03190625,0.033001743785922,Alboran Sea,88
Alboran Sea,48,0.094125,0.0434735291672366,Alboran Sea,89
Alboran Sea,48,0.0106875,0.00936758214202624,Alboran Sea,90
Alboran Sea,48,0.0495625,0.0331380155302001,Alboran Sea,91
Alboran Sea,48,0.010375,0.0218834379755874,Alboran Sea,92
Alboran Sea,48,0.0638125,0.0460657942370403,Alboran Sea,93
Alboran Sea,48,0.05003125,0.0375347900289651,Alboran Sea,94
Alboran Sea,48,0.0235,0.0232757056373185,Alboran Sea,95
Alboran Sea,48,0.046875,0.0408584792850142,Alboran Sea,96
Alboran Sea,48,0.041,0.0353580514677086,Alboran Sea,97
Alboran Sea,48,0.02346875,0.0282515055821112,Alboran Sea,98
Alboran Sea,48,0.0275625,0.0296881056916752,Alboran Sea,99
Alboran Sea,48,0.02528125,0.0222414658235344,Alboran Sea,100
Alboran Sea,48,0.0150625,0.0124692431415909,Alboran Sea,101
Alboran Sea,48,0.03109375,0.0200553772098214,Alboran Sea,102
Alboran Sea,48,0.05303125,0.0500946865496808,Alboran Sea,103
Alboran Sea,48,0.13625,0.0400499196360608,Alboran Sea,104
Alboran Sea,48,0.07209375,0.0660467412103918,Alboran Sea,105
Alboran Sea,48,0.053625,0.0253007868694905,Alboran Sea,106
Alboran Sea,48,0.01109375,0.0145062343421604,Alboran Sea,107
Alboran Sea,48,0.00765625,0.0098194202021048,Alboran Sea,108
Saharan Upwelling,48,0.0096875,0.00553965633705854,Saharan Upwelling,109
Saharan Upwelling,48,0.00425,0.002721346686743,Saharan Upwelling,110
Alboran Sea,48,0.0361875,0.0243906966372225,Alboran Sea,111
Alboran Sea,48,0.1373125,0.0905099728685482,Alboran Sea,112
Saharan Upwelling,48,0.0025625,0.00537493300507058,Saharan Upwelling,113
Alboran Sea,48,0.11528125,0.0581983431418352,Alboran Sea,114
Alboran Sea,48,0.00721875,0.0108387204179053,Alboran Sea,115
Alboran Sea,48,0.003,0.00721362074522662,Alboran Sea,116
Alboran Sea,48,0.00359375,0.00594962235493752,Alboran Sea,117
Alboran Sea,48,0.00090625,0.00287726437809586,Alboran Sea,118
Alboran Sea,48,0.0006875,0.00229391603915167,Alboran Sea,119
Alboran Sea,48,0.03525,0.0177066872109214,Alboran Sea,120
Alboran Sea,48,0.08825,0.0645887114122961,Alboran Sea,121
Alboran Sea,48,0.1118125,0.0939359917984607,Alboran Sea,122
North Patagonian Gulfs,48,0.575375,0.04935368611834,North Patagonian...,123
North Patagonian Gulfs,48,0.09775,0.0146193325813954,North Patagonian...,124
North Patagonian Gulfs,48,0.089875,0.0247740660568905,North Patagonian...,125
North Patagonian Gulfs,48,0.01090625,0.00703580052483435,North Patagonian...,126
North Patagonian Gulfs,48,0.0195625,0.0189182464045621,North Patagonian...,127
North Patagonian Gulfs,48,0.0454375,0.0250881061839719,North Patagonian...,128
North Patagonian Gulfs,48,0.155125,0.0346613507173969,North Patagonian...,129
North Patagonian Gulfs,48,0.0405625,0.0399932535664444,North Patagonian...,130
