group,bin_mid,norm_density
fish-only,48,0.0021875
combined,52.8,0.004
fish-only,48,0.12725
combined,52.8,0.128125
fish-only,48,0.00640625
combined,52.8,0.05146875
fish-only,48,0.008125
combined,52.8,0.0081875
fish-only,48,0.000875
combined,52.8,0.000875
fish-only,48,0.0023125
combined,52.8,0.0023125
fish-only,48,0.00578125
combined,52.8,0.00840625
fish-only,48,0.00575
combined,52.8,0.00627083333333333
fish-only,48,0.0768541666666667
combined,52.8,0.0772916666666667
fish-only,48,0.00577083333333333
combined,52.8,0.00589583333333333
fish-only,48,0.0048125
combined,52.8,0.0054375
fish-only,48,0.00378125
combined,52.8,0.00440625
fish-only,48,0.01284375
combined,52.8,0.013046875
fish-only,48,0.01725
combined,52.8,0.01959375
fish-only,48,0.011375
combined,52.8,0.013
fish-only,48,0.01
combined,52.8,0.010125
fish-only,48,0.003625
combined,52.8,0.00375
fish-only,48,0.0078125
combined,52.8,0.008
fish-only,48,0.0066875
combined,52.8,0.01025
fish-only,48,0.006625
combined,52.8,0.006625
fish-only,48,0.006
combined,52.8,0.006125
fish-only,48,0.0128125
combined,52.8,0.0128125
fish-only,48,0.0053125
combined,52.8,0.0058125
fish-only,48,0.010875
combined,52.8,0.011
fish-only,48,0.01134375
combined,52.8,0.01171875
fish-only,48,0.0094375
combined,52.8,0.0094375
fish-only,48,0.003375
combined,52.8,0.0038125
fish-only,48,0.0055625
combined,52.8,0.00575
fish-only,48,0.043625
combined,52.8,0.04390625
fish-only,48,0.0024375
combined,52.8,0.0026875
fish-only,48,0.0109375
combined,52.8,0.01284375
fish-only,48,0.0146875
combined,52.8,0.0149375
fish-only,48,0.01084375
combined,52.8,0.0118125
fish-only,48,0.0040625
combined,52.8,0.00425
fish-only,48,0.0025
combined,52.8,0.0025
fish-only,48,0.0020625
combined,52.8,0.0020625
fish-only,48,0.0090625
combined,52.8,0.0090625
fish-only,48,0.00303125
combined,52.8,0.00303125
fish-only,48,0.008390625
combined,52.8,0.008390625
fish-only,48,0.0035625
combined,52.8,0.0035625
fish-only,48,0.002
combined,52.8,0.002
fish-only,48,0.00084375
combined,52.8,0.00084375
fish-only,48,0.002421875
combined,52.8,0.002453125
fish-only,48,0.0063125
combined,52.8,0.0063125
fish-only,48,0.004
combined,52.8,0.00403125
fish-only,48,0.004203125
combined,52.8,0.004390625
fish-only,48,0.00778125
combined,52.8,0.00778125
fish-only,48,0.004875
combined,52.8,0.00525
fish-only,48,0.003
combined,52.8,0.0030625
fish-only,48,0.00175
combined,52.8,0.00175
fish-only,48,0.000625
combined,52.8,0.000625
fish-only,48,0.0016875
combined,52.8,0.0016875
fish-only,48,0.002
combined,52.8,0.002
fish-only,48,0.000875
combined,52.8,0.000875
fish-only,48,0.0035
combined,52.8,0.0035
fish-only,48,0.003875
combined,52.8,0.0041875
fish-only,48,0.0030625
combined,52.8,0.0030625
